ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,248.57,249.2899,247.575,249.07,252222.93196400002,62698106.095768249371642
1773680400000,2026-03-16T17:00:00Z,249.645,249.94,248.54,248.98,224816.53823000003,56059262.780264595480668
1773684000000,2026-03-16T18:00:00Z,249.08,252.2,248.92,249.47,1072931.4459799998,269071679.29946711384364
1773687600000,2026-03-16T19:00:00Z,249.5,250.38,248.88,249.28,669349.333325,166983849.9483210675
1773691200000,2026-03-16T20:00:00Z,249.25,249.25,249,249.15,15663.37697,3904149.965254198
1773694800000,2026-03-16T21:00:00Z,249.75,249.75,249.25,249.37,856.14503,213590.20593937
1773698400000,2026-03-16T22:00:00Z,249.0432,249.0432,249,249,361,89892.61
1773702000000,2026-03-16T23:00:00Z,249,249.09,249,249.09,290,72232.504
1773705600000,2026-03-17T00:00:00Z,249.02,249.76,248.53,249.29,338,84253.07
1773709200000,2026-03-17T01:00:00Z,249.28,249.47,249,249.02,153,38120.77
1773712800000,2026-03-17T02:00:00Z,249.02,249.02,248.51,248.51,94,23403.19
1773716400000,2026-03-17T03:00:00Z,248.54,249.08,248.02,248.06,471,116971.41
1773720000000,2026-03-17T04:00:00Z,248.1,248.1,248.1,248.1,6,1488.6
1773723600000,2026-03-17T05:00:00Z,248.55,248.89,248.04,248.04,194,48193.04
1773727200000,2026-03-17T06:00:00Z,248.03,248.06,247.61,247.7,148,36674.39
1773730800000,2026-03-17T07:00:00Z,247.88,248.45,247.86,248.37,149,36986.2
1773734400000,2026-03-17T08:00:00Z,249.28,249.28,249.28,249.28,59,14673.89
1773741600000,2026-03-17T10:00:00Z,248.87,251,248.87,249.15,5814,1454440.7052
1773745200000,2026-03-17T11:00:00Z,249.89,249.89,249,249.08,1353,337410.3282
1773748800000,2026-03-17T12:00:00Z,249.5,250.77,247.61,250.5514,4419.269515,1104568.131949354
1773752400000,2026-03-17T13:00:00Z,250.03,255.75,249.32,254.865,542765.6844230001,137955622.43488901221716
1773756000000,2026-03-17T14:00:00Z,254.86,254.87,251.55,252.825,430605.2991939999,109120033.35299086985892
1773759600000,2026-03-17T15:00:00Z,253.13,254.65,252.42,253.5,325942.84735699993,82658291.232616789748175
